Hi, my name is BuddyBot. I will ask questions to get to know you better. What would you like me to call you?;Depends on the user;;;;;;;
Nice to meet you {Username}. How was your day?;Great;That is wonderful! It’s always nice when things go smoothly. I’m really happy for you!;Good;That is wonderful! It’s always nice when things go smoothly. I’m really happy for you!;Okay;An okay day is still progress. I hope that you found something good in it.;Not good;I’m very sorry to hear that. Off days happen, but I’m here for you if you need anything.
Do you have any activities that you do to enjoy your free time {Username}?;Sports or outdoor activities.;That seems like a nice activity to do in your free time. Sports are a good way to get fresh air!;Something creative like drawing or playing music.;That seems like a nice activity to do in your free time.;Entertaining myself such as reading, watching movies/tv or gaming.;That seems like a nice activity to do in your free time.;Learning new things or skills.;That seems like a nice activity to do in your free time. Learning new things is always nice!
{Username}, when planning a trip, are you more spontaneous or do you prefer planning?;Definitely more spontaneous!;"That sounds exciting! Embracing spontaneity can make trips so much more adventurous and full of surprises.""";Not really sure.;That’s totally okay! Sometimes it’s hard to choose one approach, and flexibility can be a great strength when travelling.;Maybe a little bit of both.;A mix of both sounds perfect! Having some plans while staying open to spontaneity gives you the best of both worlds.;I need to plan everything.;That makes sense! Careful planning can bring peace of mind and help everything go smoothly when travelling.
{Username}, when you are stressed, how do you relax?;Spending time in nature.;I love that way to relax, being out in nature is a good way to destress.;Reading a book or watching a show.;I love that way to relax, reading or watching is a good way to destress.;Doing something fun or creative.;I love that way to relax, doing something fun or creative is a good way to destress.;Practising mindfulness or meditation.;I love that way to relax, practising mindfulness or meditation is a good way to destress.
On your weekend do you prefer going out or staying home?;I am definitely a homebody.;That sounds really nice! Being at home can be very cosy and relaxing.;Maybe a little bit of both.;That sounds really nice! It's good to have a mix of both.;Not sure.;That's okay. It can be hard to choose between the two.;Going out the entire weekend.;That sounds really nice! It can be nice to get out of the house.
{Username}, are you more of a morning person or a night owl?;The morning is just better.;Enjoying the bright sky is the best. I love being productive in the morning.;It depends on the day.;That's totally normal. I also change my preference based on the day.;I am not really sure.;That's totally normal. I’m also confused about which time of the day I prefer.;The night is just better.;Enjoying the dark sky is the best. I love being productive at night.
What type of friend group do you prefer, do you like being in a small or big friend group?;I prefer smaller groups.;I agree! Smaller groups are much more intimate.;My preference can change based on the day.;My preference also changes based on my mood for the day.;I like them equally.;I agree! Both of them have their advantages.;I prefer bigger groups.;I agree! Bigger groups are much more exciting.
When are you feeling down, how do you deal with it?;I choose to be alone.;That’s a good strategy, I understand where you are coming from..;I choose to talk to others.;That’s a good strategy, I understand where you are coming from.;I try to stay busy.;That’s a good strategy, I understand where you are coming from.;I try to distract myself by changing my focus.;That’s a good strategy, I understand where you are coming from.
How would you define yourself, {Username}? Are you more of an introvert or extrovert?;100% introverted.;That's interesting to know about you.;I can be both.;That's interesting to know about you.;I am indecisive.;That's interesting to know about you.;100% extraverted.;That's interesting to know about you.
Do you find opening up to someone hard?;Yes, it's really hard for me.;I can relate to that, talking about your feelings can get hard.;Depends on who I’m talking to.;I can relate to that, talking about your feelings really depends on the person..;It takes some time for me.;I can relate to that, talking about your feelings requires some time.;No, I can open up to anyone.;I can relate to that, being open about your feelings is the best.
How do you keep in contact with your friends?;I usually text.;Texting can be a great way to keep in touch with friends!;I prefer meeting up in person.;Meeting up in person can be a great way to keep in touch with friends.;I like video calling or talking on the phone.;Video calling/talking on the phone can be a great way to keep in touch with friends.;It depends based on the friend.;That makes sense everyone is different, that can be a great way to keep in touch with friends.
{Username}, if you could change one thing about yourself, what would it be, and why?;Personality Traits (e.g., confidence, patience);It's nice you are trying to improve yourself!;Habits or Behaviors (e.g., procrastination, work-life balance);It's nice you are trying to improve yourself!;Physical or Mental Attributes (e.g., health, appearance);It's nice you are trying to improve yourself!;None (content with self);It's nice you are trying to improve yourself!
Do you enjoy cooking?;I consider myself a chef.;Wow! That is a great skill to have.;I have never tried.;That's fine, its never late to start.;I have certain dishes I'm confident in.;That's great! You can always improve too.;I do not like cooking.;That's fine there is always time to learn.
When you are at a cafe, do you prefer coffee or tea {Username}?;I definitely love coffee.;A warm drink is always nice.;Hmm, I'm not sure.;You can decide based on your mood.;I like them equally.;A warm drink is always nice.;I am a tea person for sure.;A warm drink is always nice.
{Username}, are you a cat or dog person?;I love cats!;Cats are such cute animals.;I love them equally.;Both animals are really cute.;I can't choose!;Both animals are really cute.;Dog person!;Dogs are such cute animals.
What type of environment, helps you stay focused?;I prefer complete silence.;Locking in without any distractions is a great way to get any task done.;I need background noise.;Working with background noise is the best way to get any task done.;Depends on the task.;Thats reasonable! A more demanding task always requires more silence.;I can work in any environment.;Thats great! You are versatile in your working environment.
{Username}, what is your favourite season?;Summer;I love being under the warm sun!;Winter;I love wearing sweaters and drinking a warm drink.;Fall;I love the falling leaves and rain.;Spring;I love the blooming trees.
Which do you prefer, the beach or the pool?;Pool for sure.;Relaxing at the pool is a nice time!;Beach for sure.;Relaxing at the beach is a nice time!;Can't choose between the two!;Both are nice to go to.;I don't like water.;Getting wet can be annoying, I get that.
What core values guide your decisions in life?;Compassion or Empathy;That is a great value to guide your decisions!;Ambition or Hard Work;That is a great value to guide your decisions!;Loyalty or Trust;That is a great value to guide your decisions!;Freedom or Independence;That is a great value to guide your decisions!
